country,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,critical_cases,total_cases_per_one_million
China,81008,41,3255,7,71740,6013,1927,56
Italy,47021,0,4032,0,5129,37860,2655,778
Spain,21571,0,1093,0,1588,18890,939,461
Germany,19848,0,68,0,180,19600,2,237
USA,19650,267,264,8,147,19239,64,59
Iran,19644,0,1433,0,6745,11466,0,234
France,12612,0,450,0,1587,10575,1297,193
South Korea,8799,147,102,8,2612,6085,59,172
Switzerland,5615,0,56,0,15,5544,141,649
UK,3983,0,177,0,65,3741,20,59
Netherlands,2994,0,106,0,2,2886,210,175
Austria,2649,0,6,0,9,2634,14,294
Belgium,2257,0,37,0,204,2016,164,195
Norway,1959,0,7,0,1,1951,27,361
Sweden,1639,0,16,0,16,1607,21,162
Denmark,1255,0,9,0,1,1245,37,217
Canada,1087,0,12,0,14,1061,1,29
Malaysia,1030,0,3,0,87,940,26,32
Australia,1023,95,7,0,46,970,2,40
Portugal,1020,0,6,0,5,1009,26,100
Japan,1007,0,35,0,215,757,50,8
Brazil,970,0,11,0,2,957,18,5
Czechia,833,0,0,0,4,829,6,78
Diamond Princess,712,0,8,0,567,137,15,
Israel,705,0,1,0,15,689,10,81
Ireland,683,0,3,0,5,675,6,138
Turkey,670,0,9,0,0,661,0,8
Pakistan,501,0,3,0,13,485,0,2
Greece,495,0,10,0,19,466,20,47
Luxembourg,484,0,5,0,6,473,1,773
Qatar,470,0,0,0,10,460,6,163
Finland,450,0,0,0,10,440,2,81
Chile,434,0,0,0,6,428,7,23
Ecuador,426,0,7,0,3,416,2,24
Poland,425,0,5,0,13,407,3,11
Iceland,409,0,0,0,5,404,1,1199
Singapore,385,0,2,2,131,252,14,66
Indonesia,369,0,32,0,17,320,0,1
Saudi Arabia,344,0,0,0,8,336,0,10
Slovenia,341,0,1,0,0,340,9,164
Thailand,322,0,1,0,42,279,1,5
Romania,308,0,0,0,31,277,11,16
Bahrain,298,0,1,0,125,172,4,175
Egypt,285,0,8,0,42,235,0,3
Estonia,283,0,0,0,1,282,1,213
Peru,263,0,4,0,1,258,5,8
India,258,9,5,0,23,230,0,0.2
Hong Kong,256,0,4,0,98,154,4,34
Russia,253,0,1,0,12,240,0,2
Philippines,230,0,18,0,8,204,1,2
Iraq,208,0,17,0,49,142,0,5
South Africa,202,0,0,0,0,202,0,3
Panama,200,0,1,0,1,198,7,46
Lebanon,177,0,4,0,4,169,3,26
Mexico,164,0,1,0,4,159,1,1
Kuwait,159,0,0,0,22,137,5,37
Argentina,158,0,3,0,3,152,0,3
Colombia,158,13,0,0,1,157,0,3
San Marino,151,0,14,0,4,133,12,4450
UAE,140,0,2,0,31,107,2,14
Slovakia,137,0,0,0,0,137,2,25
Armenia,136,0,0,0,1,135,2,46
Taiwan,135,0,2,0,28,105,0,6
Serbia,135,0,1,0,2,132,4,15
Croatia,130,0,1,0,5,124,0,32
Bulgaria,127,0,3,0,1,123,0,18
Costa Rica,113,0,2,0,2,109,2,22
Latvia,111,0,0,0,1,110,0,59
Uruguay,110,0,0,0,0,110,0,32
Algeria,94,0,11,0,32,51,0,2
Vietnam,91,0,0,0,17,74,0,0.9
Bosnia and Herzegovina,89,0,0,0,2,87,1,27
Morocco,86,0,3,0,2,81,1,2
Hungary,85,0,4,0,7,74,6,9
Jordan,85,0,0,0,1,84,0,8
Faeroe Islands,80,0,0,0,3,77,0,1637
Brunei,78,0,0,0,1,77,2,178
North Macedonia,76,0,0,0,1,75,1,36
Andorra,75,0,0,0,1,74,2,971
Cyprus,75,0,0,0,0,75,1,62
Sri Lanka,73,0,0,0,3,70,0,3
Dominican Republic,72,0,2,0,0,70,0,7
Albania,70,0,2,0,2,66,2,24
Belarus,69,0,0,0,15,54,0,7
Moldova,66,0,1,0,1,64,3,16
Venezuela,65,0,0,0,1,64,0,2
Malta,64,0,0,0,2,62,1,145
Lithuania,63,0,0,0,1,62,1,23
Tunisia,54,0,1,0,1,52,7,5
Kazakhstan,52,0,0,0,0,52,0,3
New Zealand,52,0,0,0,0,52,0,11
Guadeloupe,51,0,1,0,0,50,4,127
Cambodia,51,0,0,0,1,50,0,3
Oman,48,0,0,0,13,35,0,9
Palestine,48,0,0,0,17,31,0,9
Senegal,47,0,0,0,5,42,0,3
Azerbaijan,44,0,1,0,7,36,0,4
Georgia,44,0,0,0,1,43,1,11
Ukraine,41,0,3,0,1,37,0,0.9
Burkina Faso,40,0,1,0,4,35,0,2
Reunion,38,0,0,0,0,38,0,42
Uzbekistan,33,0,0,0,0,33,0,1
Martinique,32,0,1,0,0,31,7,85
Liechtenstein,28,0,0,0,0,28,0,734
Cameroon,27,0,0,0,2,25,0,1
Afghanistan,24,0,0,0,1,23,0,0.6
Honduras,24,0,0,0,0,24,0,2
Cuba,21,0,1,0,0,20,0,2
Bangladesh,20,0,1,0,3,16,1,0.1
Jamaica,19,0,1,0,2,16,0,6
DRC,18,0,0,0,0,18,0,0.2
Paraguay,18,0,0,0,0,18,1,3
Macao,17,0,0,0,10,7,0,26
Rwanda,17,0,0,0,0,17,0,1
Bolivia,16,0,0,0,0,16,0,1
Ghana,16,0,0,0,0,16,0,0.5
Guyana,15,0,1,0,0,14,0,19
French Guiana,15,0,0,0,0,15,0,50
Guam,14,0,0,0,0,14,0,83
Montenegro,14,0,0,0,0,14,0,22
Puerto Rico,14,0,0,0,0,14,0,5
Maldives,13,0,0,0,2,11,0,24
Guatemala,12,0,1,0,0,11,0,0.7
Nigeria,12,0,0,0,1,11,0,0.06
Channel Islands,12,0,0,0,0,12,0,69
Mauritius,12,0,0,0,0,12,0,9
Monaco,11,0,0,0,0,11,0,280
French Polynesia,11,0,0,0,0,11,0,39
Gibraltar,10,0,0,0,2,8,0,297
Ivory Coast,9,0,0,0,1,8,0,0.3
Ethiopia,9,0,0,0,0,9,0,0.08
Togo,9,0,0,0,0,9,0,1
Trinidad and Tobago,9,0,0,0,0,9,0,6
Kenya,7,0,0,0,0,7,0,0.1
Mayotte,7,0,0,0,0,7,0,26
Seychelles,7,0,0,0,0,7,0,71
Barbados,6,0,0,0,0,6,0,21
Equatorial Guinea,6,0,0,0,0,6,0,4
Kyrgyzstan,6,0,0,0,0,6,0,0.9
Mongolia,6,0,0,0,0,6,0,2
Tanzania,6,0,0,0,0,6,0,0.1
Aruba,5,0,0,0,1,4,0,47
Gabon,4,0,1,0,0,3,0,2
Bahamas,4,0,0,0,0,4,0,10
Saint Martin,4,0,0,0,0,4,0,103
Suriname,4,0,0,0,0,4,0,7
Cayman Islands,3,0,1,0,0,2,0,46
Curacao,3,0,1,0,0,2,0,18
CAR,3,0,0,0,0,3,0,0.6
Congo,3,0,0,0,0,3,0,0.5
Madagascar,3,0,0,0,0,3,0,0.1
Namibia,3,0,0,0,0,3,0,1
St. Barth,3,0,0,0,0,3,0,304
U.S. Virgin Islands,3,0,0,0,0,3,0,29
Sudan,2,0,1,0,0,1,0,0.05
Benin,2,0,0,0,0,2,0,0.2
Bermuda,2,0,0,0,0,2,0,32
Bhutan,2,0,0,0,0,2,0,3
Greenland,2,0,0,0,0,2,0,35
Guinea,2,0,0,0,0,2,0,0.2
Haiti,2,0,0,0,0,2,0,0.2
Isle of Man,2,0,0,0,0,2,0,24
Liberia,2,0,0,0,0,2,0,0.4
Mauritania,2,0,0,0,0,2,0,0.4
New Caledonia,2,0,0,0,0,2,0,7
Nicaragua,2,0,0,0,0,2,0,0.3
Saint Lucia,2,0,0,0,0,2,0,11
Zambia,2,0,0,0,0,2,0,0.1
Nepal,1,0,0,0,1,0,0,0.03
Angola,1,0,0,0,0,1,0,0.03
Antigua and Barbuda,1,0,0,0,0,1,0,10
Cabo Verde,1,0,0,0,0,1,0,2
Chad,1,0,0,0,0,1,0,0.06
Djibouti,1,0,0,0,0,1,0,1
El Salvador,1,0,0,0,0,1,0,0.2
Fiji,1,0,0,0,0,1,0,1
Gambia,1,0,0,0,0,1,0,0.4
Vatican City,1,0,0,0,0,1,0,1248
Montserrat,1,0,0,0,0,1,0,200
Niger,1,0,0,0,0,1,0,0.04
Papua New Guinea,1,0,0,0,0,1,0,0.1
St. Vincent Grenadines,1,0,0,0,0,1,0,9
Sint Maarten,1,0,0,0,0,1,0,23
Somalia,1,0,0,0,0,1,0,0.06
Eswatini,1,0,0,0,0,1,0,0.9
Zimbabwe,1,0,0,0,0,1,0,0.07
